2026-02-19 16:23:22 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:25:09 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:26:35 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:28:58 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:30:06 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:31:12 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:33:51 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:36:35 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:46:45 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:49:32 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:50:12 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:51:03 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:54:42 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:55:10 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:55:36 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:55:44 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:56:56 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:57:19 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 16:57:40 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 17:08:36 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 17:16:11 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 17:35:45 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 17:37:27 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 17:42:54 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 18:01:01 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-19 18:11:11 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-21 22:12:18 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-21 22:18:24 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-21 22:27:40 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-21 22:37:30 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-21 22:43:42 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-21 22:51:59 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-21 23:08:53 | INFO     | combat               | __init__        | CombatTracker inicializado
