2026-02-16 20:41:35 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Thalion Ealdholt
2026-02-16 20:41:35 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Thalion Ealdholt, generando aleatorios
2026-02-16 20:41:35 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Thalion Ealdholt (Pícaro Nv.3, HP:24, AC:9)
2026-02-16 20:41:35 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Drago Darkheart
2026-02-16 20:41:35 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Drago Darkheart, generando aleatorios
2026-02-16 20:41:35 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Drago Darkheart (Paladín Nv.3, HP:28, AC:16)
2026-02-16 20:41:35 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Eolande Sylverwing
2026-02-16 20:41:35 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Sorceress', usando 'Guerrero' por defecto
2026-02-16 20:41:35 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Eolande Sylverwing, generando aleatorios
2026-02-16 20:41:35 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Eolande Sylverwing (Guerrero Nv.3, HP:25, AC:16)
2026-02-16 20:41:35 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Grom Stonefist
2026-02-16 20:41:35 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Grom Stonefist, generando aleatorios
2026-02-16 20:41:35 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Grom Stonefist
2026-02-16 20:41:35 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Grom Stonefist (Bárbaro Nv.3, HP:32, AC:13)
2026-02-16 20:47:22 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Thalion Darkblade
2026-02-16 20:47:22 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Cazador de tesoros', usando 'Guerrero' por defecto
2026-02-16 20:47:22 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Thalion Darkblade, generando aleatorios
