2026-02-21 22:28:55 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Prohibición de la Magia
2026-02-21 22:37:30 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-21 22:38:45 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-21 22:38:45 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El corazón del dragón negro
2026-02-21 22:43:42 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-21 22:44:57 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-21 22:44:57 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Prohibición del Fuego Celestial
2026-02-21 22:51:59 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-21 22:53:34 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-21 22:53:34 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Profecía Prohibida
2026-02-21 23:08:53 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-21 23:10:08 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-21 23:10:08 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Profecía del Dragón Negro
