2026-02-18 19:35:53 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-18 19:36:15 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 19:36:17 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 19:37:26 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 19:37:26 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-18 19:39:33 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 19:47:17 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 19:51:18 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 19:53:17 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 19:54:33 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-18 20:03:36 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-18 20:03:47 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 20:03:48 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (player) — Total: 2
2026-02-18 20:04:50 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 20:10:39 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 20:10:56 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:12:02 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:13:21 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:14:45 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-18 20:19:30 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:21:48 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:22:35 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 20:22:43 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:24:15 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-18 20:27:21 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:28:12 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 20:30:37 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:32:21 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-18 20:35:10 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 20:46:09 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:46:13 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:46:37 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:46:48 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:46:48 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:46:58 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:47:07 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:47:17 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:47:29 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:47:40 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:47:40 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:47:40 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:48:41 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:48:43 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (launcher) — Total: 1
2026-02-18 20:51:41 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 20:51:48 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
